Ar_CommonGroup 搴旂敤鎬绘暟: 1170

鍞竴杩涚▼鍚? 965

================================================================================
ManicTime 鎵€鏈夊簲鐢紙CommonId | 杩涚▼鍚?| 鏄剧ず鍚?| 棰滆壊锛?
================================================================================
    919  mmc.exe                                                                                  #DC0D0A
    435  upscayl-2.9.5-win.exe                          Upscayl                                   #0057C3
    928  upscayl.exe                                    Upscayl                                   #0057C3
   2583  useraccountbroker.exe                          User Account Control Panel Host           #0D4B74
   1244  utw_gothic-win64-shipping.exe                  UTW_Gothic-Win64-Shipping                 #F754A6
    334  update.exe                                     UU鍔犻€熷櫒                                     #181B30
    335  uu.exe                                         UU鍔犻€熷櫒                                     #181B30
    409  uu_ball.exe                                    UU鍔犻€熷櫒                                     #181B30
    336  uu_crosshair.exe                               UU鍔犻€熷櫒                                     #171A30
    652  vbcable_setup_x64.exe                          VBCABLE_Setup                             #00007F
    648  vc++鍚堥泦.tmp                                     VC++鍚堥泦                                    #56C416
   1688  vc_redist.x64.exe                              VC_redist                                 #806D12
    129  vc_redist.x86.exe                              vc_redist                                 #F75C91
    294  vcrepair_win.exe                               vcrepair_win                              #2674FA
    295  unin.exe                                       VC杩愯搴撲慨澶?                                  #005BFA
    293  vc杩愯搴撲慨澶峗tb23904.exe                            VC杩愯搴撲慨澶?                                  #005BFA
    921  venus vacation prism - dead or alive xtreme -.exe  Venus Vacation PRISM - DEAD OR ALIVE Xtreme -  #00F7F7
   1525  video2x_gui.exe                                video2x_gui                               #FE0000
   1259  village.exe                                    village                                   #D35921
    659  vcctlpan.exe                                   Virtual Audio Cable                       #00007F
    341  setup.exe                                      Visual Studio                             #2DB9A6
    340  vs_setup_bootstrapper.exe                      Visual Studio                             #3BCCBB
    511  code.exe                                       Visual Studio Code                        #00578A
   1734  inno_updater.exe                               Visual Studio Code                        #00578A
   1736  codesetup-stable-618725e67565b290ba4da6fe2d29f8fa1d4e3622.tmp  Visual Studio Code                                            #CF6ABA
   1383  codesetup-stable-7d842fb85a0275a4a8e4d7e040d2625abbf7f084.tmp  Visual Studio Code                                            #76F26E
    618  codesetup-stable-e54c774e0add60467559eb0d1e229c6452cf8447.tmp  Visual Studio Code                                            #026BF0
    512  codesetup-stable-fabdb6a30b49f79a7aba0f2ad9df9b399473380f.tmp  Visual Studio Code                                            #CF1684
    161  mmc.exe                                        VMware USB Arbitration Service 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   1323  vmnetcfg.exe                                   VMware Workstation                        #547F7F
    163  vmware-tray.exe                                VMware Workstation                        #31CDD4
     36  vmware.exe                                     VMware Workstation                        #794400
   1577  audiorecorder.exe                              Voice Recorder                            #C2F54C
    663  voicerecorder.exe                              VoiceRecorder                             #008DFA
    221  volume2.exe                                    Volume虏                                   #003C78
    398  vpet.solution.exe                              VPet                                      #0070C6
      3  vpet-simulator.windows.exe                     VPet-Simulator.Windows                    #177AC6
   1441  vsc_v1.5.tmp                                   VSC_v1.5                                  #4CF310
    145  vsixinstaller.exe                              VSIXInstaller                             #40805E
   1190  vtube studio.exe                               VTube Studio                              #EE8F7A
    908  w30 build18212596.tmp                          W30 Build18212596                         #CFC05B
   1292  w51 v3.5.8.tmp                                 W51 v3.5.8                                #157FE2
    924  ui32.exe                                       Wallpaper Engine GUI                      #0049E8
    923  launcher.exe                                   Wallpaper Engine Launcher                 #0049E8
    131  wallpaper_generator.exe                        Wallpaper_Generator_V4                    #FD7070
    133  steam++.exe                                    Watt Toolkit                              #1F4F89
     21  wechat.exe                                     WeChat                                    #39DD75
     63  wechatappex.exe                                WeChatAppEx x64                           #00B135
    417  wechatdatabackup.exe                           wechatDataBackup                          #39DD75
    643  wechatupdate.exe                               WeChatUpdate                              #84D54E
    381  repair_client.exe                              WeGame                                    #A18000
    538  tgp_daemon.exe                                 WeGame                                    #A18000
    473  uninst.exe                                     WeGame                                    #C15706
    532  uninstall_complete.exe                         WeGame                                    #C15706
    380  wegame.exe                                     WeGame                                    #3C1100
    537  wegamesetup.exe                                WeGame                                    #B44E00
    533  涓夎娲茶鍔ㄥ嵏杞?exe                                    WeGame                                    #FBAA08
    762  browser.exe                                    WeGame WebHelper                          #3C1100
    531  wegameminiloader.exe                           WeGame涓嬭浇鍣?                                #B44E00
   1437  weixinplayer_setup.tmp                         weixinplayer_setup                        #777508
    775  wemod.exe                                      WeMod                                     #002EC7
   1064  wemod鐮磋В.exe                                    WeMod鐮磋В                                   #002EC7
    469  wetvdownload2_winformsapp(1).exe               WeTV 4K Downloader                        #E8A600
    468  wetvdownload2_winformsapp.exe                  WeTV 4K Downloader                        #E8A600
   2034  window detective.exe                           Window Detective                          #FEFE00
   2033  window-detective-3.5.1-setup.tmp               Window-Detective-3.5.1-setup              #3F82B3
    122  sechealthui.exe                                Windows Defender application              #0D4B74
    153  msiexec.exe                                    Windows Installer - Unicode               #1F81B6
    677  powershell.exe                                 Windows PowerShell                        #0058F1
   1910  powershell_ise.exe                             Windows PowerShell ISE                    #23CCF2
    182  werfault.exe                                   Windows Problem Reporting                 #1FB002
   2295  mmc.exe                                        Windows Push Notifications User Service_10a925 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   2281  mmc.exe                                        Windows Search 灞炴€?                        #DC0D0A
    173  mmc.exe                                        Windows Search 鐨勫睘鎬?鏈湴璁＄畻鏈?                 #DC0D0A
   1057  securityhealthsystray.exe                      Windows Security notification icon        #003D6C
   1992  sonarservicewrapper.exe                        Windows Service Wrapper                   #0D4B74
     13  shellexperiencehost.exe                        Windows Shell Experience Host             #0D4B74
     59  startmenuexperiencehost.exe                    Windows Start Experience Host             #0D4B74
    140  windowsterminal.exe                            Windows Terminal                          #C822AC
   1642  mmc.exe                                        Windows Time 鐨勫睘鎬?鏈湴璁＄畻鏈?                   #DC0D0A
    195  rundll32.exe                                   Windows 涓昏繘绋?(Rundll32)                    #0D4B74
    498  taskhostw.exe                                  Windows 浠诲姟鐨勪富鏈鸿繘绋?                          #0D4B74
   1776  shutdown.exe                                   Windows 鍏抽棴鍜屾敞閲婂伐鍏?                          #0D4B74
    297  optionalfeatures.exe                           Windows 鍔熻兘                                #0000FD
    143  cmd.exe                                        Windows 鍛戒护澶勭悊绋嬪簭                            #7A096E
    283  fontview.exe                                   Windows 瀛椾綋鏌ョ湅鍣?                            #0000EA
    440  mmc.exe                                        Windows 鏇存柊 鐨勫睘鎬?鏈湴璁＄畻鏈?                     #DC0D0A
    205  mblctr.exe                                     Windows 绉诲姩涓績                              #0931D4
    364  mmc.exe                                        Windows 鑷姩鏇存柊                              #DC0D0A
      4  explorer.exe                                   Windows 璧勬簮绠＄悊鍣?                            #C48F00
   1981  contextmenumanager.exe                         Windows鍙抽敭绠＄悊                               #AC1100
   2054  contextmenumanager.net.3.5.exe                 Windows鍙抽敭绠＄悊                               #AC1100
   1933  contextmenumanager.net.4.0.exe                 Windows鍙抽敭绠＄悊                               #AC1100
   1878  windows瀹炵敤璁剧疆宸ュ叿3.6.5.exe                         Windows瀹炵敤璁剧疆宸ュ叿                             #DF0007
   1429  windows瓒呯骇绠＄悊鍣?9.50 鍗曟枃浠剁増.exe                     Windows瓒呯骇绠＄悊鍣?                             #0000AD
   2048  windscribe.exe                                 Windscribe                                #0050C2
   2047  windscribe_2.20.7_amd64.exe                    Windscribe_2.20                           #94145D
   2429  winforgifsicle.exe                             WinForGIFSicle                            #0D4B74
    718  winhex.exe                                     WinHex                                    #0000FD
    720  winhex64.exe                                   WinHex                                    #0000FD
    247  winrar.exe                                     WinRAR                                    #3E3F9C
   1580  mmc.exe                                        WinUSB 璁惧 灞炴€?                             #DC0D0A
   2580  witness64_d3d11.exe                            witness64_d3d11                           #0097DD
   1716  wixstdba.exe                                   WiX Toolset                               #0D4B74
   1778  wiztree64.exe                                  WizTree                                   #E0A800
   1777  wiztree_4_19_setup.tmp                         wiztree_4_19_setup                        #DBB8F1
   1490  x32dbg.exe                                     x64dbg                                    #7B0202
   1489  x64dbg.exe                                     x64dbg                                    #7F0000
   1488  x96dbg.exe                                     x64dbg                                    #BE3E2D
     10  xappcenter.exe                                 xAppCenter                                #0CC0FC
    148  xboxpcapp.exe                                  Xbox                                      #39FD39
    848  gamingservicestcui.exe                         Xbox.Apps.TCUI                            #0D4B74
    846  gamingservicesui.exe                           Xbox.Apps.TCUI                            #0D4B74
     11  xdroidui.exe                                   xDroidUI                                  #0CC0FC
   1760  mmc.exe                                        XiaoMi Continuity Service 鐨勫睘鎬?鏈湴璁＄畻鏈?      #DC0D0A
   1856  mmc.exe                                        XiaoMi Dist Service 鐨勫睘鎬?鏈湴璁＄畻鏈?            #DC0D0A
   1761  mmc.exe                                        XiaoMi Distributed Service 鐨勫睘鎬?鏈湴璁＄畻鏈?     #DC0D0A
   2280  mmc.exe                                        XiaoMi Handoff Service 鐨勫睘鎬?鏈湴璁＄畻鏈?         #DC0D0A
   1601  xiaomithemeeditor.exe                          XiaomiThemeEditor                         #DD6E00
   1426  xmind-for-windows-x64bit-26.01.03145-202510170340.exe  Xmind                                     #F2572C
   1427  xmind.exe                                      Xmind                                     #F2572C
    711  y229 v3.0.tmp                                  Y229 v3.0                                 #1BF006
   2487  y23 v1.7.9c.tmp                                Y23 v1.7.9c                               #54CA9F
   2571  yazd_hd.exe                                    YAZD_HD                                   #5B9A19
   1678  ym.exe                                         YM                                        #3C9306
    105  yuanshen.exe                                   YuanShen                                  #FBFB00
    544  yysls.exe                                      yysls                                     #9D7445
   1393  zfgamebrowser.exe                              ZFGameBrowser                             #0D4B74
    505  zhuxianclient-win64-shipping.exe               ZhuxianClient-Win64-Shipping              #4895F3
    687  zipextractor.exe                               ZipExtractor                              #A99A1B
    501  zxsjgame.exe                                   ZXSJGame                                  #227FF8
   1380  zyh.exe                                        zyh                                       #11BCCE
   1884  zyperwin++.exe                                 ZyperWin++                                #329AE4
   1245  銇欍仺锝炪亶銈撱亹锛?exe                                    銇欍仺锝炪亶銈撱亹锛?                                  #FC00FC
    210  slbsmartsearch.exe                             涓€鍒?                                       #00B3FA
    486  deltaforceminiloader.exe                       涓夎娲蹭笅杞藉櫒                                    #193340
     33  delta_force_launcher.exe                       涓夎娲茶鍔?                                    #193340
   2151  瀹㈡埛绔?exe                                        涓嬭浇鍣?                                      #4E9429
   1930  mmc.exe                                        涓嶈鍦ㄢ€滃叧闂?Windows鈥濆璇濇鏄剧ず鈥滃畨瑁呮洿鏂板苟鍏虫満鈥?            #DC0D0A
    363  mmc.exe                                        涓嶈繍琛屾寚瀹氱殑 Windows 搴旂敤绋嬪簭                       #DC0D0A
   1742  mmc.exe                                        浜嬩欢灞炴€?                                     #DC0D0A
   1309  mmc.exe                                        浜嬩欢鏌ョ湅鍣?                                    #DC0D0A
   1540  _unins.tmp                                     浜岄噸铻烘棆                                                          #21EB6A
    311  mmc.exe                                        浠庣鐩樺畨瑁?                                    #DC0D0A
   1390  daiti.exe                                      浠ｄ綋                                        #0000FE
   1389  daiti_0.2.0_x64-setup.exe                      浠ｄ綋                                        #0000FE
      9  taskmgr.exe                                    浠诲姟绠＄悊鍣?                                    #0092E1
   1582  mmc.exe                                        浠诲姟璁″垝绋嬪簭                                    #DC0D0A
   2566  mmc.exe                                        浣嶇疆                                        #DC0D0A
   1881  渚濈洊涔嬩功.exe                                       渚濈洊涔嬩功                                      #00076C
    250  mmc.exe                                        鍌婚笩搴旂敤 (D:) 灞炴€?                             #DC0D0A
   1929  mmc.exe                                        鍏佽浣跨敤鍓创鏉垮巻鍙茶褰?                              #DC0D0A
   2582  mmc.exe                                        鍏佽鍒嗛厤淇濆瓨鐨勫嚟鎹敤浜庝粎 NTLM 鏈嶅姟鍣ㄨ韩浠介獙璇?                #DC0D0A
     88  鍏ユⅵ宸ュ叿绠盻8.6_setup.tmp                            鍏ユⅵ宸ュ叿绠?                                                        #5DBFAA
    878  mmc.exe                                        鍏抽棴 Microsoft Defender 闃茬梾姣?                #DC0D0A
   1592  mmc.exe                                        鍏抽棴 Windows Copilot                        #DC0D0A
    477  鍐掗櫓灏忓垎闃?exe                                      鍐掗櫓灏忓垎闃?                                    #FE007F
    926  鍒濆璁剧疆.exe                                       鍒濆璁剧疆                                      #0095D0
    583  jianying_7_5_0_12565_jianyingpro_lenovo_creatortool.exe  鍓槧涓撲笟鐗?                                    #1AA35F
   2373  uninst.exe                                     鍓槧涓撲笟鐗?                                    #5D0A7C
   2371  鍓槧涓撲笟鐗?.0@7.11娴嬭瘯.exe                            鍓槧涓撲笟鐗?                                    #87AAF7
   2588  mmc.exe                                        鍔犲瘑鏁版嵁搴撲慨姝?                                  #DC0D0A
    479  mmc.exe                                        鍗虫彃鍗崇敤杞欢璁惧鏋氫妇鍣?灞炴€?                           #DC0D0A
    584  3162-2024-12-06103135-1733452295770.exe        鍗虫椂璁捐                                      #FE0000
    669  鍗虫椂璁捐.exe                                       鍗虫椂璁捐                                      #FE0000
   1423  uninstall.exe                                  鍗歌浇绋嬪簭                                      #0D4B74
    394  mmc.exe                                        鍗歌浇璁惧                                      #DC0D0A
    254  mmc.exe                                        鍘嬬缉 C:                                     #DC0D0A
    252  mmc.exe                                        鍘嬬缉 D:                                     #DC0D0A
   2072  xwizard.exe                                    鍙墿灞曠殑鍚戝涓绘満杩涚▼                                #0000FE
    401  鍙抽敭绠″.exe                                       鍙抽敭绠″                                      #D223BA
   1194  mmc.exe                                        鍚敤鎴栫鐢?Windows 娓告垙褰曞埗鍜屽箍鎾?                    #DC0D0A
   1164  鍜屽钩绮捐嫳pc妯℃嫙鍣╛1.0.0.24_10870824_setup.exe          鍜屽钩绮捐嫳PC妯℃嫙鍣╛1.0.0                           #CE9000
   1167  鍜屽钩绮捐嫳妯℃嫙鍣?exe                                    鍜屽钩绮捐嫳妯℃嫙鍣?                                  #CE9000
     78  3098-2024-11-01023119-1730442679472.exe        鍝斿摡鍝斿摡                                      #F7004E
    582  7776-2025-01-13110444-1736737484536.exe        鍝斿摡鍝斿摡                                      #F7004E
     97  鍝斿摡鍝斿摡.exe                                       鍝斿摡鍝斿摡                                      #F7004E
     32  livehime.exe                                   鍝斿摡鍝斿摡鐩存挱濮?                                  #F80052
   1591  mmc.exe                                        鍦?Windows 鍚姩鍜屾瘡娆″叧闂?Microsoft Edge 鏃讹紝鍏佽 Microsoft Edge 鍚姩鍜屽姞杞解€滃紑濮嬧€濆拰鈥滄柊寤烘爣绛鹃〉鈥濋〉闈? #DC0D0A
   1872  mmc.exe                                        鍦ㄦ枃浠惰祫婧愮鐞嗗櫒鎼滅储妗嗕腑鍏抽棴鏈€杩戞悳绱㈡潯鐩殑鏄剧ず                   #DC0D0A
   1125  mmc.exe                                        鍩轰簬绛栫暐鐨?QoS                                 #DC0D0A
    130  澹佺焊鐢熸垚鍣? 瀹夎绋嬪簭.exe                                澹佺焊鐢熸垚鍣?                                    #FD7070
    561  etalien.exe                                    澶栨槦浜哄姞閫熷櫒                                    #5607E9
   1775  etalien.exe                                    澶栨槦浠斿姞閫熷櫒                                    #5607E9
   1726  _unins.tmp                                     澶瀬                                                            #8AC90D
   1083  澶瀬_2.9.8.tmp                                   澶瀬                                                            #52A872
    933  cbox.exe                                       澶褰遍煶                                      #7F0000
   1975  quarkpc_v4.1.0.380.tmp                         澶稿厠浜戞ˉ鐗?                                                        #1959DF
   2421  _iu14d2n.tmp                                   澶稿厠浜戞ˉ鐗?                                                        #D2D86B
    104  quarkclouddrive.exe                            澶稿厠缃戠洏                                      #0046F8
    244  quarkclouddrivepc_v3.14.1_pc_pf30001_(zh-cn)_release_(build1975574-20241107131932).tmp  澶稿厠缃戠洏                                                          #7863F0
    809  quarkclouddrivepc_v3.19.0_pc_pf30001_(zh-cn)_release_(build2135311-20250327222033).tmp  澶稿厠缃戠洏                                                          #70483A
   1661  magicaltool.exe                                濂囧宸ュ叿绠?                                    #0054FD
   1660  magicaltool_0.0.2_x64-setup.exe                濂囧宸ュ叿绠?                                    #D77265
   1875  濡瑰眳鐗╄.exe                                       濡瑰眳鐗╄                                      #53C1DA
   2581  mmc.exe                                        濮嬬粓鍦ㄨ繛鎺ユ椂鎻愮ず杈撳叆瀵嗙爜                              #DC0D0A
     74  microsoft.media.player.exe                     濯掍綋鎾斁鍣?                                    #265083
    502  charmap.exe                                    瀛楃鏄犲皠琛?                                    #72ACF8
    120  cxstudy.exe                                    瀛︿範閫?                                      #F90025
    812  xiaomipcmanager_feature_n56s_5.3.0.328_aa472251.exe  瀹夎绋嬪簭                                      #D20A00
    820  xiaoai.exe                                     灏忕埍鍚屽                                      #275185
    819  xiaomiaisearch.exe                             灏忕背AI鎼滅储                                    #005BEE
     67  6076-2024-10-30041307-1730275987120.exe        灏忕背浜戞湇鍔?                                    #00A1F8
    232  灏忕背浜戞湇鍔?exe                                      灏忕背浜戞湇鍔?                                    #00A1F8
    813  xiaomipcmanager.exe                            灏忕背鐢佃剳绠″                                    #D20A00
   1134  fpsmaster.exe                                  甯ф暟澶у笀                                      #0B3C90
   1524  mujing.exe                                     骞曞                                        #890000
    816  miappstore.exe                                 搴旂敤鍟嗗簵                                      #187BF5
    814  mstore_1.0.5.2s_setup.exe                      搴旂敤鍟嗗簵                                      #187BF5
    144  appinstaller.exe                               搴旂敤瀹夎绋嬪簭                                    #0088F8
    832  mismartsharehandoff.exe                        搴旂敤鎺ュ姏                                      #0000FD
    101  pc-launcher.exe                                褰掗緳娼?                                      #54A0E6
    541  mmc.exe                                        寰俊澶囦唤 灞炴€?                                  #DC0D0A
    352  uninst000.exe                                  寰蒋OfficePLUS鍗歌浇绋嬪簭                          #8A2A1D
    831  蹇繛vpn.tmp                                      蹇繛VPN                                     #492ED4
     49  stellarplayer.exe                              鎭掓槦鎾斁鍣?                                    #0000FE
     45  stellar_20220902162757_zj_54_stable_full_x64.exe  鎭掓槦鎾斁鍣?                                    #C08415
     47  updater.exe                                    鎭掓槦鎾斁鍣?                                    #007500
    798  wpflauncher.exe                                鎴戠殑涓栫晫鍚姩鍣?                                  #82654F
   1744  mmc.exe                                        鎵€鏈夋鍦ㄨ繍琛屼换鍔?                                 #DC1815
    366  mmc.exe                                        鎵撳紑                                        #DC0D0A
    253  mmc.exe                                        鎵╁睍鍗峰悜瀵?                                    #DC0D0A
    585  9456-2024-12-24035126-1735026686591.exe        鎼滅嫍杈撳叆娉?                                    #F64A0C
   1421  biz_helper.exe                                 鎼滅嫍杈撳叆娉?                                    #FA4600
    273  sgfeedbackhelper.exe                           鎼滅嫍杈撳叆娉?                                    #FA4600
    236  sgmyinput.exe                                  鎼滅嫍杈撳叆娉?                                    #FA4600
    290  sgsmartassistant.exe                           鎼滅嫍杈撳叆娉?                                    #EC5C03
    272  sgtool.exe                                     鎼滅嫍杈撳叆娉?                                    #FA4600
     20  sgwangzai.exe                                  鎼滅嫍杈撳叆娉?                                    #FA4600
   1278  sogousmartassistant.exe                        鎼滅嫍杈撳叆娉?                                    #FA6400
   2414  aplayer.exe                                    鎾斁鍐呮牳                                      #007FFE
   1131  802_1023085_18778_1001_setup_2.0.0.1.exe       鏂楃綏澶ч檰锛氱寧榄備笘鐣?                                #0454D3
   1133  au_.exe                                        鏂楃綏澶ч檰锛氱寧榄備笘鐣?                                #F37171
    421  mmc.exe                                        鏂板缓鍏ョ珯瑙勫垯鍚戝                                  #DC0D0A
    419  mmc.exe                                        鏂板缓鍑虹珯瑙勫垯鍚戝                                  #DC0D0A
    255  mmc.exe                                        鏂板缓绠€鍗曞嵎鍚戝                                   #DC0D0A
    330  mmc.exe                                        鏂板缓璺緞瑙勫垯                                    #DC0D0A
   2587  mmc.exe                                        鏂扮敤鎴?                                      #DC0D0A
   1085  un_a.exe                                       鏄撳壀濯?                                      #DB969B
   1082  鏄撳壀濯?exe                                        鏄撳壀濯?                                      #311C6B
   1081  鏄撳壀濯掋€恮indows绯荤粺銆?.2.1.exe                        鏄撳壀濯?                                      #311C6B
   1023  slbuninstallui12.exe                           鏅烘収鑱旀兂                                      #009FDE
   1163  wegameminiloader.exe                           鏆楀尯绐佸洿鏃犻檺涓嬭浇鍣?                                #1798F4
   1031  systempropertiesperformance.exe                鏇存敼璁＄畻鏈烘€ц兘璁剧疆                                 #0023EC
   2589  systempropertiescomputername.exe               鏇存敼璁＄畻鏈鸿缃?                                  #0023EC
   1826  mmc.exe                                        鏇存柊 Orchestrator 鏈嶅姟 鐨勫睘鎬?鏈湴璁＄畻鏈?             #DC0D0A
    175  mmc.exe                                        鏇存柊椹卞姩绋嬪簭                                    #DC0D0A
    916  mmc.exe                                        鏇存柊椹卞姩绋嬪簭 - HID-compliant mouse              #DC0D0A
    603  mmc.exe                                        鏈€灏忓寲鍒?Internet 鎴?Windows 鍩熺殑鍚屾椂杩炴帴鏁?          #DC0D0A
     39  mmc.exe                                        鏈嶅姟                                        #DC0D0A
    162  mmc.exe                                        鏈嶅姟鎺у埗                                      #DC0D0A
   2433  mmc.exe                                        鏈煡 USB 璁惧(璁惧鎻忚堪绗﹁姹傚け璐? 灞炴€?                  #DC0D0A
   2565  mmc.exe                                        鏈湴瀹夊叏绛栫暐                                    #DC0D0A
    329  mmc.exe                                        鏈湴缁勭瓥鐣ョ紪杈戝櫒                                  #DC0D0A
    853  mmc.exe                                        鏈湴閮ㄧ讲 灞炴€?                                  #DC0D0A
   1743  mmc.exe                                        鏌ユ壘                                        #DC1815
    251  mmc.exe                                        鏌ヨ鍘嬬缉绌洪棿                                    #DC0D0A
   1573  妤兼湀鍏嶈垂mp3褰曢煶杞欢.exe                                妤兼湀鍏嶈垂MP3褰曢煶杞欢                               #435875
     75  regedit.exe                                    娉ㄥ唽琛ㄧ紪杈戝櫒                                    #00496E
    263  mmc.exe                                        娴忚鏂囦欢澶?                                    #DC0D0A
   2076  7555d61de513ea5e90e0a22937585134.exe           娣辨緶瀹藉甫璁よ瘉瀹㈡埛绔?                                #1B57D8
     60  srun3k.exe                                     娣辨緶瀹藉甫璁よ瘉瀹㈡埛绔?                                #1B57D8
    262  mmc.exe                                        娣诲姞椹卞姩绋嬪簭                                    #DC0D0A
   1317  .hr4768.tmp                                    鐏粧瀹夊叏杞欢                                    #A385C8
   1806  fileshred.exe                                  鐏粧瀹夊叏杞欢                                    #3A30F3
   1315  hipsmain.exe                                   鐏粧瀹夊叏杞欢                                    #F47600
   1820  hipstray.exe                                   鐏粧瀹夊叏杞欢                                    #F47600
   1794  hrconfig.exe                                   鐏粧瀹夊叏杞欢                                    #36979F
   1316  hrupdate.exe                                   鐏粧瀹夊叏杞欢                                    #7FEB1A
   1795  netflow.exe                                    鐏粧瀹夊叏杞欢                                    #00FB5C
   2055  rightclickman.exe                              鐏粧瀹夊叏杞欢                                    #A8FDFD
   1314  sysdiag-all-x64-6.0.7.12-2025.09.24.2.exe      鐏粧瀹夊叏杞欢                                    #DA974F
   1793  sysdiag-all-x64-6.0.8.4-2025.12.21.1.exe       鐏粧瀹夊叏杞欢                                    #DA974F
    536  launcher.exe                                   鐕曚簯鍗佸叚澹?                                    #9D7445
    604  uninstaller.exe                                鐕曚簯鍗佸叚澹板嵏杞界▼搴?                                #C18C4A
    535  yysls_1.9.31_netease.lenovo_cpa_dev_setup.exe  鐕曚簯鍗佸叚澹板畨瑁呯▼搴?                                #9D7445
   2319  es_broadcast.exe                               鐜嬭€呭ぇ涓栫晫NGR                                  #367000
   2063  setup.exe                                      鐜嬭€呰崳鑰€涓栫晫                                    #41A2F2
   2064  鐜嬭€呰崳鑰€涓栫晫.exe                                     鐜嬭€呰崳鑰€涓栫晫                                    #41A2F2
   2099  uninstall.exe                                  鐜嬭€呰崳鑰€涓栫晫 uninstall                          #41A2F2
   2091  upgrader.exe                                   鐜嬭€呰崳鑰€涓栫晫 upgrader                           #41A2F2
    375  mmc.exe                                        鐢ㄦ埛甯愭埛鎺у埗: 浠ョ鐞嗗憳鎵瑰噯妯″紡杩愯鎵€鏈夌鐞嗗憳 灞炴€?               #DC0D0A
    118  video.ui.exe                                   鐢靛奖鍜岀數瑙?                                    #0062AD
    699  paintstudio.view.exe                           鐢诲浘 3D                                     #005DA5
    465  4271-2024-12-05105956-1733367596437.exe        鐣屽鐙傛疆鍚姩鍣?                                  #3E0287
    466  fragpunk.exe                                   鐣屽鐙傛疆鍚姩鍣?                                  #3E0287
    365  mmc.exe                                        鐧诲綍鏃朵笉鏄剧ず娆㈣繋灞忓箷                                #DC0D0A
   1293  鐩綍.tmp                                         鐩綍                                        #025461
    187  windowscamera.exe                              鐩告満                                        #0079D7
    249  mmc.exe                                        纾佺洏绠＄悊                                      #DC0D0A
   1218  绌烘礊楠戝＋涓濅箣姝?exe                                    绌烘礊楠戝＋涓濅箣姝?                                  #A25600
    664  mmc.exe                                        绔嬩綋澹版贩闊?(Realtek(R) Audio) 灞炴€?              #DC0D0A
     58  hyp.exe                                        绫冲搱娓稿惎鍔ㄥ櫒                                    #008CC8
    360  hyupdater.exe                                  绫冲搱娓稿惎鍔ㄥ櫒                                    #008CC8
    472  uninstall.exe                                  绫冲搱娓稿惎鍔ㄥ櫒                                    #00007F
    509  yuanshen_setup_202411101232.exe                绫冲搱娓稿惎鍔ㄥ櫒                                    #FEFE00
    595  yuanshen_setup_202412201721.exe                绫冲搱娓稿惎鍔ㄥ櫒                                    #FEFE00
   1741  msinfo32.exe                                   绯荤粺淇℃伅                                      #0044F2
    169  sysprep.exe                                    绯荤粺鍑嗗宸ュ叿                                    #400000
    112  msconfig.exe                                   绯荤粺閰嶇疆瀹炵敤绋嬪簭                                  #000991
   1704  stablediffusionwebuilauncher.exe               缁樹笘                                        #E02B4C
   1493  缂撳啿鍖烘孩鍑烘敾鍑?exe                                    缂撳啿鍖烘孩鍑烘敾鍑?                                  #0D4B74
   1127  mmc.exe                                        缂栬緫涓€涓幇鏈夌殑 QoS 绛栫暐                            #DC0D0A
    795  9426-2024-07-09025828-1720508308473.tmp        缃戞槗鍙戠儳娓告垙                                                        #68249E
    796  mc_setup.tmp                                   缃戞槗鍙戠儳娓告垙                                                        #842379
    553  sky_setup.tmp                                  缃戞槗鍙戠儳娓告垙                                                        #44649C
    214  youdaodict.exe                                 缃戞槗鏈夐亾缈昏瘧                                    #F40C00
    823  youdaodictuninstalltemp.exe                    缃戞槗鏈夐亾缈昏瘧                                    #006BD0
    213  youdaodict_lianxiang_op240912.exe              缃戞槗鏈夐亾缈昏瘧                                    #F40C00
    590  youdaodict_lianxiang_op241209.exe              缃戞槗鏈夐亾缈昏瘧                                    #F40C00
    644  缇ゆ槦dlc.exe                                      缇ゆ槦dlc                                     #E4BA00
      8  lztray.exe                                     鑱旀兂 Legion Zone                            #121200
    428  lsf.exe                                        鑱旀兂甯愬彿                                      #7F4400
    368  lsfinstall.exe                                 鑱旀兂甯愬彿                                      #7F4400
     65  lenovoappstore.exe                             鑱旀兂搴旂敤鍟嗗簵                                    #31E487
    534  store-ind-30020.exe                            鑱旀兂搴旂敤鍟嗗簵                                    #31E487
    371  storeuninstaller.exe                           鑱旀兂搴旂敤鍟嗗簵                                    #31E487
    339  memu.exe                                       鑱旀兂妯℃嫙鍣?                                    #009B7C
    646  uninstall.exe                                  鑱旀兂妯℃嫙鍣ㄥ嵏杞界▼搴?                                #009B7C
    578  slbinstall_11.exe                              鑱旀兂娴忚鍣?                                    #C97800
    127  pdfpreview.exe                                 鑱旀兂娴忚鍣?鏋佸厜PDF鍚堜綔鐗?                           #00497A
    382  fastpdf.exe                                    鑱旀兂娴忚鍣?鏋佸厜PDF鍚堜綔鐗堥槄璇诲櫒                         #00497A
    429  lzupdate.exe                                   鑱旀兂娓告垙鍗囩骇绋嬪簭                                  #121200
    925  batterysetting.exe                             鑱旀兂鐢垫睜绠＄悊                                    #006FF8
